Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1001,S2,SKU-1,Microprocessors,76,449.63,2025-01-01 00:00:00,17,12,Pending,2.46,Coimbatore,43883.64,34171.88,29
1002,S5,SKU-2,Logic ICs,16,114.48,2025-01-02 00:00:00,16,19,Pass,1.12,Bengaluru,2121.84,1831.68,35
1003,S4,SKU-3,Sensors,90,266.92,2025-01-03 00:00:00,18,17,Fail,5.28,Coimbatore,28735.18,24022.8,35
1004,S3,SKU-4,Sensors,90,225.58,2025-01-04 00:00:00,16,12,Pass,4.49,Coimbatore,25780.86,20302.2,28
1005,S1,SKU-5,Microprocessors,48,274.81,2025-01-05 00:00:00,12,9,Pass,1.79,Bengaluru,16892.81,13190.88,21
1006,S1,SKU-6,Sensors,85,88.36,2025-01-06 00:00:00,12,17,Fail,3.44,Chennai,8869.42,7510.6,29
1007,S1,SKU-7,Logic ICs,39,14.51,2025-01-07 00:00:00,24,19,Fail,5.41,Chennai,656.52,565.89,43
1008,S5,SKU-8,Microprocessors,33,842.94,2025-01-08 00:00:00,17,8,Pass,4.92,Coimbatore,35782.43,27817.02,25
1009,S4,SKU-9,Logic ICs,94,75.32,2025-01-09 00:00:00,14,16,Fail,3.5,Bengaluru,8145.68,7080.08,30
1010,S4,SKU-10,Logic ICs,23,87.3,2025-01-10 00:00:00,13,17,Pending,5.02,Chennai,2341.37,2007.9,30
1011,S1,SKU-11,Sensors,10,46.38,2025-01-11 00:00:00,17,6,Fail,5.45,Bengaluru,572.73,463.8,23
1012,S5,SKU-12,Sensors,69,340.67,2025-01-12 00:00:00,24,15,Fail,4.22,Bengaluru,29363.74,23506.23,39
1013,S5,SKU-13,Sensors,34,298.06,2025-01-13 00:00:00,15,19,Pending,0.82,Bengaluru,12618.87,10134.04,34
1014,S1,SKU-14,Sensors,52,105.83,2025-01-14 00:00:00,11,7,Pending,2.51,Mumbai,6617.15,5503.16,18
1015,S1,SKU-15,Sensors,95,96.37,2025-01-15 00:00:00,13,7,Fail,4.69,Bengaluru,11455.09,9155.15,20
1016,S1,SKU-16,Microprocessors,10,296.72,2025-01-16 00:00:00,21,8,Pending,1.65,Mumbai,3690.38,2967.2,29
1017,S2,SKU-17,Logic ICs,19,42.08,2025-01-17 00:00:00,20,8,Pending,4.65,Coimbatore,945.46,799.52,28
1018,S3,SKU-18,Logic ICs,58,66.77,2025-01-18 00:00:00,13,14,Pending,1.1,Chennai,4742.65,3872.66,27
1019,S2,SKU-19,Logic ICs,96,56.38,2025-01-19 00:00:00,24,15,Pass,0.73,Chennai,6575.96,5412.48,39
